"author","undated_poem_count"
"鲍君徽","3"
"毕耀","3"
"蔡戡","3"
"蔡隐丘","3"
"曹宰","3"
"曾原一","3"
"常理","3"
"陈东甫","3"
"陈济翁","3"
"陈嘉言","3"
"陈峤","3"
"陈景沂","3"
"陈贶","3"
"陈偕","3"
"陈以庄","3"
"陈用拙","3"
"程公许","3"
"程武","3"
"程长文","3"
"崔邠","3"
"崔善为","3"
"崔膺","3"
"崔知贤","3"
"道恒","3"
"德谦","3"
"丁默","3"
"洞庭龙君","3"
"窦参","3"
"独孤均","3"
"杜","3"
"杜淹","3"
"杜易简","3"
"杜正伦","3"
"冯友仁","3"
"符载","3"
"干康","3"
"高伯达","3"
"高宗皇帝李治","3"
"葛鵶儿","3"
"关注","3"
"郭子正","3"
"海顺","3"
"韩氏","3"
"何大圭","3"
"何兆","3"
"何仲举","3"
"和岘","3"
"贺兰朋吉","3"
"胡峤","3"
"胡元范","3"
"虎丘山石壁鬼","3"
"怀濬","3"
"黄大临","3"
"黄简","3"
"黄时龙","3"
"黄铢","3"
"慧救","3"
"霍安人","3"
"姜皎","3"
"蒋元龙","3"
"锦溪","3"
"景云","3"
"孔氏","3"
"孔夷","3"
"李崇嗣","3"
"李德载","3"
"李夫人","3"
"李节度姬","3"
"李景伯","3"
"李琳","3"
"李隆基","3"
"李穆","3"
"李仁本","3"
"李荣","3"
"李舜弦","3"
"李亿","3"
"李泳","3"
"李淛","3"
"李仲光","3"
"廉氏","3"
"梁栋","3"
"林伯镇","3"
"林杰","3"
"令参","3"
"令狐峤","3"
"刘猛","3"
"刘潜","3"
"刘望之","3"
"刘行敏","3"
"刘铉","3"
"刘瑶","3"
"刘隐辞","3"
"刘云","3"
"楼枎","3"
"卢拱","3"
"卢元辅","3"
"陆蟾","3"
"陆海","3"
"陆凝之","3"
"陆叡","3"
"洛川仙女","3"
"马伯升","3"
"眉娘","3"
"梅远","3"
"南唐嗣主李璟","3"
"欧阳彬","3"
"欧阳询","3"
"潘孟阳","3"
"裴守真","3"
"裴谞","3"
"彭履道","3"
"彭耜","3"
"彭泰翁","3"
"捧劒仆","3"
"钱元瓘","3"
"清豁","3"
"任华","3"
"如满","3"
"若虚","3"
"僧鸾","3"
"善珍","3"
"商山客死书生","3"
"上元夫人","3"
"邵叔齐","3"
"沈宇","3"
"师鼐","3"
"施枢","3"
"史深","3"
"嗣主璟","3"
"嵩山女","3"
"宋鼎","3"
"宋济","3"
"宋维","3"
"宋务光","3"
"苏广文","3"
"苏茂一","3"
"孙氏","3"
"孙叔向","3"
"昙域","3"
"谭峭","3"
"唐暄","3"
"唐艺孙","3"
"陶晟","3"
"王安礼","3"
"王操","3"
"王福娘","3"
"王𪟝","3"
"王继勋","3"
"王勔","3"
"王同祖","3"
"王野","3"
"王韫秀","3"
"王子容","3"
"危稹","3"
"韦安石","3"
"韦检亡姬","3"
"惟审","3"
"魏炎","3"
"魏元忠","3"
"无名鬼","3"
"吴编修","3"
"吴资","3"
"伍唐珪","3"
"武涉","3"
"湘中蛟女","3"
"萧","3"
"萧昕","3"
"萧翼","3"
"萧元之","3"
"小白","3"
"谢绛","3"
"熊以宁","3"
"徐璧","3"
"徐昌图","3"
"徐光溥","3"
"徐灵府","3"
"徐去非","3"
"徐月英","3"
"徐知证","3"
"续雪谷","3"
"玄泰","3"
"严休复","3"
"颜萱","3"
"杨玢","3"
"杨达","3"
"杨德辉","3"
"杨端臣","3"
"杨均","3"
"杨樵云","3"
"杨韶父","3"
"杨缵","3"
"夷陵女郎","3"
"义褒","3"
"易祓","3"
"尹焕","3"
"俞紫芝","3"
"圆观","3"
"袁吉","3"
"臧鲁子","3"
"詹克爱","3"
"詹雄","3"
"张艾","3"
"张白","3"
"张昌宗","3"
"张贾","3"
"张峤","3"
"张立","3"
"张良臣","3"
"张林","3"
"张淑芳","3"
"张司马","3"
"张万顷","3"
"张幼谦","3"
"张氲","3"
"张众甫","3"
"赵蕃","3"
"赵桓","3"
"赵师律","3"
"赵温之","3"
"赵征明","3"
"甄后","3"
"郑常","3"
"郑颢","3"
"郑觉斋","3"
"郑渥","3"
"郑獬","3"
"郑薰","3"
"知玄","3"
"锺将之","3"
"周墀","3"
"周孚先","3"
"周瑀","3"
"朱光弼","3"
"朱埴","3"
"邹应博","3"
"祖可","3"
"左誉","3"
"鲍家四弦","2"
"毕大节","2"
"毕良史","2"
"辨才","2"
"辨正","2"
"病狂人","2"
"卜天寿","2"
"布燮","2"
"蔡昆","2"
"蔡士裕","2"
"曹希蕴","2"
"曾弼","2"
"曾栋","2"
"曾寓轩","2"
"曾原郕","2"
"柴宿","2"
"畅诸","2"
"陈策","2"
